Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1988-12,1987-12,1986-12,1985-12,1984-12
Total Liabilities,39.97B,41.80B,39.69B,39.60B,39.42B,43.51B,42.09B,43.17B,42.80B,35.54B,35.12B,34.30B,34.60B,34.18B,32.24B,31.99B,30.90B,28.73B,27.82B,27.68B,27.67B,27.12B,27.78B,27.73B,27.86B,29.33B,28.31B,28.27B,28.79B,27.86B,28.09B,28.53B,28.91B,27.68B,27.47B,27.09B,27.05B,27.65B,26.96B,26.92B,27.02B,26.18B,26.58B,26.86B,28.22B,27.54B,26.52B,25.31B,24.58B,24.65B,23.97B,22.05B,21.22B,21.38B,21.53B,21.29B,20.87B,20.83B,21.05B,23.23B,19.81B,18.78B,18.66B,18.91B,18.58B,18.50B,18.79B,18.74B,18.64B,14.18B,14.71B,14.71B,15.06B,16.08B,15.42B,15.20B,15.47B,16.58B,15.48B,15.89B,14.93B,9.53B,9.063B,10.08B,14.66B,8.992B,9.074B,8.837B,9.321B,8.655B,8.56B,8.528B,8.649B,8.905B,9.108B,8.931B,8.873B,8.624B,8.70B,8.514B,8.339B,8.106B,8.161B,8.321B,8.439B,7.975B,8.317B,8.318B,8.505B,6.905B,7.201B,7.299B,7.399B,7.487B,7.049B,7.09B,7.076B,7.124B,7.086B,6.87B,6.72B,6.49B,6.737B,7.097B,7.598B,7.438B,5.198B
Total Capital Stock,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,958.00M,716.00M,716.00M,716.00M,953.00M,716.00M,716.00M,716.00M,716.00M,716.00M,716.00M,358.00M,716.00M,358.00M,358.00M,358.00M,358.00M,358.00M,358.00M,358.00M,358.00M,358.00M,358.00M,358.00M,358.00M,,,,,,,,,,,,,,,,,,,,,,
Retained Earnings,37.69B,36.78B,35.74B,34.79B,33.98B,31.11B,30.10B,29.40B,27.48B,31.25B,30.41B,29.53B,28.71B,28.19B,27.70B,26.87B,26.15B,25.43B,24.58B,23.81B,23.12B,22.58B,21.77B,21.04B,20.38B,19.80B,19.14B,18.44B,17.80B,17.88B,17.22B,16.61B,16.08B,16.69B,16.08B,15.54B,15.10B,18.13B,17.87B,17.64B,14.02B,17.02B,16.65B,16.42B,16.25B,15.74B,15.23B,14.71B,14.27B,13.77B,13.34B,12.92B,12.56B,12.17B,11.81B,11.48B,11.23B,11.37B,11.08B,10.95B,10.77B,10.67B,10.46B,10.26B,10.13B,9.884B,9.701B,9.543B,9.45B,11.07B,10.81B,10.51B,10.28B,10.32B,10.78B,10.88B,10.99B,10.89B,10.76B,10.29B,9.932B,5.919B,5.628B,5.322B,8.918B,4.814B,4.569B,4.304B,4.089B,3.849B,3.63B,3.401B,3.214B,2.974B,2.744B,2.516B,2.315B,2.114B,1.941B,1.762B,1.613B,1.453B,1.309B,1.157B,1.023B,1.135B,1.001B,864.00M,747.00M,1.913B,1.796B,1.677B,1.594B,1.514B,2.12B,2.101B,2.113B,2.08B,2.042B,1.985B,1.923B,1.876B,1.671B,1.503B,1.155B,938.00M,153.50M
Additional Paid In Capital,6.876B,6.806B,6.78B,6.652B,6.452B,6.398B,6.317B,6.25B,6.212B,6.115B,6.033B,5.927B,5.781B,5.707B,5.681B,5.539B,5.377B,5.292B,5.234B,5.153B,5.038B,4.937B,4.868B,4.772B,4.682B,4.582B,4.513B,4.446B,4.358B,4.242B,4.201B,4.156B,4.157B,4.113B,4.089B,4.036B,3.977B,3.929B,3.913B,3.859B,3.823B,3.802B,3.822B,3.848B,3.994B,4.099B,4.089B,4.059B,4.014B,3.991B,3.963B,3.88B,3.845B,3.725B,3.712B,3.70B,3.626B,3.613B,3.596B,3.584B,3.574B,3.568B,3.547B,3.518B,3.486B,3.459B,3.443B,3.427B,3.409B,3.168B,3.13B,3.077B,3.015B,2.969B,2.93B,2.852B,2.782B,2.523B,2.486B,2.347B,2.318B,3.323B,3.242B,3.109B,1.719B,2.917B,2.866B,2.799B,2.425B,2.389B,2.296B,2.596B,2.189B,2.532B,2.517B,2.508B,2.489B,2.483B,2.472B,2.464B,2.458B,2.457B,2.455B,2.453B,2.453B,,,,,,,,,,,,,,,,,,,,,,
Treasury Stock,23.84B,23.14B,22.16B,20.39B,19.77B,18.10B,17.56B,16.83B,15.91B,14.41B,14.14B,13.53B,13.37B,13.18B,13.07B,12.72B,11.66B,11.55B,10.35B,10.28B,9.995B,9.815B,9.74B,9.59B,9.374B,9.166B,9.062B,8.748B,8.801B,8.651B,8.751B,8.802B,8.948B,8.973B,8.524B,8.155B,8.299B,8.405B,8.699B,8.922B,8.995B,9.038B,9.447B,9.766B,10.21B,10.60B,9.669B,9.807B,9.479B,9.431B,9.295B,7.35B,6.339B,5.635B,5.544B,5.163B,5.027B,4.537B,4.036B,4.097B,4.185B,3.828B,3.827B,3.807B,3.655B,3.636B,3.674B,3.716B,3.783B,4.21B,4.222B,4.232B,4.252B,4.267B,4.281B,4.291B,4.296B,4.382B,4.237B,4.258B,4.254B,4.265B,4.285B,3.714B,3.413B,3.246B,3.108B,2.827B,2.665B,2.398B,2.184B,2.093B,1.953B,1.883B,1.801B,1.754B,1.658B,1.614B,1.561B,1.488B,1.505B,1.507B,1.505B,1.44B,1.437B,,,,,,,,,,,,,,,,,,,,,,
Adjustments for Foreign Currency Translation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,823.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,-672.00M,,,,-295.00M,,,,-169.00M,,,,-181.00M,-141.00M,-112.00M,-78.00M,2.00M,23.00M,,36.00M,61.00M,68.00M,102.00M,70.00M,18.00M,37.00M,10.00M,1.00M,-7.00M,,,,,,,,,,,,,,,,,,,,,,
Other Equity Adjustments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.367B,,,,,,,,,,,,,,,,,,,,,,,,,,,,-57.00M,,,,-60.00M,,,,75.00M,,,,2.00M,4.00M,6.00M,6.00M,12.00M,23.00M,,27.00M,27.00M,28.00M,33.00M,37.00M,40.00M,,,,,,,,,,,,,,,,,,,,,,,,,,
Accrued Comprehensive Inc,-3.197B,-3.295B,-3.453B,-3.245B,-3.437B,-2.125B,-2.222B,-2.174B,-2.235B,-2.84B,-2.837B,-2.562B,-2.714B,-2.482B,-2.499B,-2.455B,-2.535B,-2.373B,-1.969B,-2.099B,-1.459B,281.00M,837.00M,748.00M,818.00M,-1.211B,-1.767B,-1.656B,-1.339B,-1.294B,-1.637B,-1.182B,-1.444B,-1.122B,-536.00M,-687.00M,-1.067B,-4.282B,-5.031B,-4.543B,-948.00M,-3.251B,-3.512B,-4.049B,-3.809B,-664.00M,-344.00M,-285.00M,-544.00M,-1.034B,-1.167B,-1.249B,-1.307B,105.00M,41.00M,-59.00M,-25.00M,-33.00M,-80.00M,36.00M,138.00M,-167.00M,-255.00M,-175.00M,-189.00M,-781.00M,-689.00M,-988.00M,-1.109B,-615.00M,-608.00M,-827.00M,-835.00M,-726.00M,-866.00M,-807.00M,-729.00M,-652.00M,-512.00M,-391.00M,-355.00M,-270.00M,-275.00M,-136.00M,-94.00M,-169.00M,-220.00M,-221.00M,-179.00M,-137.00M,-106.00M,-72.00M,14.00M,46.00M,29.00M,63.00M,88.00M,96.00M,135.00M,107.00M,58.00M,37.00M,10.00M,1.00M,-7.00M,,,,,,,,,,,,,,,,,,,,,,
Shareholders Equity,18.49B,18.11B,17.87B,18.77B,18.18B,18.24B,17.60B,17.60B,16.50B,21.07B,20.42B,20.32B,19.37B,19.19B,18.77B,18.20B,18.28B,17.76B,18.46B,17.54B,17.66B,18.94B,18.70B,17.93B,17.47B,14.96B,13.78B,13.44B,12.98B,13.13B,11.99B,11.74B,10.81B,11.66B,12.07B,11.69B,10.67B,10.33B,9.008B,8.987B,8.861B,9.492B,8.467B,7.415B,7.187B,9.538B,10.26B,9.636B,9.222B,8.255B,7.80B,9.163B,9.72B,11.32B,10.98B,10.91B,10.76B,11.38B,11.52B,11.43B,11.25B,11.20B,10.89B,10.76B,10.73B,9.884B,9.739B,9.224B,8.925B,10.37B,10.07B,9.483B,9.17B,9.252B,9.52B,9.592B,9.707B,9.336B,9.452B,8.945B,8.599B,5.423B,5.026B,5.297B,8.083B,5.032B,4.823B,4.771B,4.386B,4.419B,4.352B,4.19B,4.18B,4.027B,3.847B,3.691B,3.592B,3.437B,3.345B,3.203B,2.982B,2.798B,2.627B,2.529B,2.39B,2.507B,2.386B,2.302B,2.251B,3.487B,3.308B,3.151B,2.983B,2.837B,3.415B,3.43B,3.38B,3.314B,3.327B,3.338B,3.412B,3.538B,3.268B,3.129B,3.67B,5.833B,2.747B
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
