Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1988-12,1987-12,1986-12,1985-12,1984-12
Total Capital Stock,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,6.00M,6.00M,6.00M,6.00M,6.00M,6.00M,6.00M,6.00M,6.00M,6.00M,6.00M,59.00M,59.00M,74.00M,79.00M,160.00M,193.00M,211.00M,208.80M,205.60M,203.70M,201.70M,181.30M,1.10M,1.10M,1.10M,1.10M,1.10M,1.10M,1.10M,0.623M,0.623M,0.623M,0.623M,0.623M,0.623M,0.563M,0.563M,0.60M,,,,,,,,,,3.50M,4.60M,10.40M,10.40M,10.40M,10.40M,12.70M,12.70M,12.70M,12.70M,13.80M,13.80M,13.80M,13.80M,13.80M,15.00M,15.00M,15.00M,16.10M,16.10M,16.10M,16.10M,17.30M,17.30M,17.30M,17.30M,18.50M,18.50M,18.50M,18.40M,,,,,
Retained Earnings,31.97B,31.28B,31.05B,30.81B,31.04B,30.43B,29.92B,29.42B,29.20B,27.14B,26.60B,26.37B,26.37B,26.27B,25.93B,25.40B,25.19B,25.13B,23.95B,22.80B,22.05B,21.03B,20.12B,19.66B,18.97B,17.80B,17.59B,17.58B,17.03B,16.12B,15.54B,14.79B,15.31B,15.35B,14.17B,13.46B,13.39B,13.86B,13.59B,13.04B,13.18B,14.67B,15.38B,15.72B,15.48B,18.84B,17.76B,17.11B,16.91B,16.41B,15.20B,13.02B,11.95B,10.88B,9.331B,7.484B,6.673B,5.359B,4.526B,3.709B,3.199B,2.735B,2.323B,1.712B,1.483B,1.368B,1.190B,1.073B,913.60M,835.30M,816.10M,815.30M,864.40M,818.89M,722.73M,452.76M,321.57M,233.09M,110.60M,27.41M,-3.331M,-19.80M,-42.40M,-20.30M,-17.60M,72.50M,72.70M,37.30M,47.60M,39.80M,511.50M,503.80M,496.80M,496.20M,491.60M,479.30M,467.90M,463.70M,449.70M,429.20M,442.70M,447.40M,447.30M,447.30M,446.90M,462.10M,461.80M,442.20M,431.60M,428.40M,405.40M,383.00M,366.90M,350.30M,326.90M,307.10M,291.00M,262.30M,235.20M,219.60M,213.40M,190.50M,176.40M,174.50M,283.80M,258.80M
Additional Paid In Capital,6.821B,6.818B,6.812B,6.802B,7.048B,7.042B,7.032B,7.026B,7.039B,7.06B,7.096B,7.096B,7.088B,7.108B,7.055B,7.057B,7.064B,7.074B,7.076B,7.083B,7.116B,7.137B,7.132B,7.134B,7.187B,7.232B,7.237B,7.245B,7.322B,7.409B,7.477B,7.479B,7.486B,7.559B,7.616B,7.641B,7.704B,7.839B,7.833B,7.879B,7.896B,7.975B,7.987B,7.194B,7.19B,7.252B,7.215B,7.258B,7.111B,7.366B,7.446B,7.543B,7.779B,7.774B,7.839B,7.952B,8.164B,8.29B,4.418B,4.373B,4.358B,4.361B,4.361B,4.357B,3.923B,3.882B,3.678B,3.674B,3.437B,3.438B,3.442B,3.446B,3.469B,1.250B,1.250B,1.249B,1.249B,1.250B,1.251B,1.089B,1.092B,1.096B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treasury Stock,15.65B,15.47B,15.17B,14.96B,14.92B,14.33B,13.92B,13.59B,13.32B,12.94B,12.66B,12.31B,12.03B,11.93B,11.42B,11.01B,10.80B,10.10B,9.054B,8.39B,8.125B,7.773B,7.474B,7.168B,7.054B,6.856B,6.818B,6.605B,6.437B,6.455B,6.568B,6.542B,6.475B,6.491B,6.312B,6.361B,6.462B,6.615B,6.62B,6.688B,6.721B,6.83B,6.856B,6.875B,6.884B,6.783B,6.733B,6.574B,6.097B,5.308B,4.876B,2.074B,1.396B,1.281B,868.00M,420.00M,196.00M,83.00M,293.00M,317.00M,199.00M,159.40M,179.90M,0.30M,41.40M,,9.60M,3.00M,42.00M,74.50M,100.60M,80.20M,149.60M,56.62M,52.59M,40.78M,44.26M,38.13M,14.68M,8.096M,4.811M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preferred Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.00M,53.00M,68.00M,76.00M,157.00M,190.00M,208.00M,206.20M,204.30M,202.40M,200.50M,180.10M,,,,,,,,,,,,,,,,,,,,,,,,,,3.50M,4.60M,10.40M,10.40M,10.40M,10.40M,12.70M,12.70M,12.70M,12.70M,13.80M,13.80M,13.80M,13.80M,13.80M,15.00M,15.00M,15.00M,16.10M,16.10M,16.10M,16.10M,17.30M,17.30M,17.30M,17.30M,18.50M,18.50M,18.50M,18.40M,,,,,
Adjustments for Foreign Currency Translation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580.00M,,,,330.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Equity Adjustments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.00M,,,,-65.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accrued Comprehensive Inc,-1.351B,-1.529B,-1.35B,-1.352B,-1.507B,-1.235B,-1.262B,-983.00M,-940.00M,-893.00M,-1.123B,-1.334B,-1.41B,-1.12B,-1.002B,-802.00M,-933.00M,-795.00M,-529.00M,-730.00M,-367.00M,149.00M,426.00M,277.00M,350.00M,83.00M,-99.00M,121.00M,108.00M,252.00M,119.00M,221.00M,96.00M,232.00M,498.00M,479.00M,388.00M,314.00M,240.00M,432.00M,365.00M,68.00M,-115.00M,-237.00M,-176.00M,400.00M,427.00M,432.00M,573.00M,491.00M,335.00M,233.00M,265.00M,431.00M,403.00M,323.00M,335.00M,149.00M,88.00M,33.00M,229.00M,77.40M,27.70M,166.20M,169.60M,133.30M,136.80M,54.50M,-1.10M,8.70M,87.50M,68.40M,18.10M,28.83M,29.72M,42.66M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholders Equity,21.80B,21.11B,21.34B,21.31B,21.67B,21.91B,21.77B,21.88B,21.99B,20.37B,19.92B,19.82B,20.02B,20.34B,20.58B,20.66B,20.53B,21.32B,21.45B,20.77B,20.68B,20.55B,20.21B,19.92B,19.46B,18.27B,17.92B,18.34B,18.03B,17.33B,16.58B,15.96B,16.42B,16.65B,15.98B,15.22B,15.02B,15.40B,15.05B,14.67B,14.72B,15.89B,16.41B,15.80B,15.62B,19.71B,18.68B,18.23B,18.51B,18.97B,18.12B,18.73B,18.60B,17.82B,16.76B,15.40B,15.05B,13.79B,8.899B,7.991B,7.798B,7.222B,6.737B,6.439B,5.735B,5.565B,4.997B,4.80B,4.308B,4.208B,4.246B,4.250B,4.203B,2.041B,1.950B,1.705B,1.527B,1.445B,1.348B,1.109B,1.085B,1.076B,1.056B,1.081B,1.085B,1.172B,1.184B,1.148B,1.159B,1.151B,1.244B,1.099B,1.077B,1.079B,1.072B,1.054B,1.041B,1.051B,1.035B,1.014B,1.025B,1.029B,1.023B,1.026B,856.10M,869.10M,868.60M,848.40M,835.80M,831.90M,807.40M,794.00M,702.60M,705.80M,709.40M,689.30M,675.30M,649.20M,552.80M,536.90M,530.90M,507.90M,492.40M,377.30M,482.90M,438.80M
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
