Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1988-12,1987-12,1986-12,1985-12,1984-12
Total Long Term Liabilities,44.61B,44.56B,39.02B,36.36B,35.36B,36.45B,36.84B,36.72B,36.00B,35.45B,39.10B,39.74B,38.99B,38.31B,39.10B,37.92B,37.60B,34.40B,34.66B,34.49B,35.90B,24.81B,25.21B,24.44B,26.18B,35.89B,37.51B,37.22B,37.95B,33.12B,33.25B,33.78B,35.10B,30.51B,29.92B,29.50B,30.31B,26.49B,26.45B,26.94B,27.50B,26.11B,25.88B,24.15B,18.44B,18.47B,18.61B,18.44B,17.51B,17.90B,17.52B,17.35B,20.77B,20.54B,20.50B,20.81B,22.78B,20.94B,21.84B,21.84B,24.36B,24.36B,26.37B,26.45B,25.96B,25.44B,25.51B,24.84B,18.39B,17.69B,17.58B,17.59B,15.24B,15.42B,13.46B,12.73B,12.28B,10.77B,10.83B,11.03B,10.80B,10.97B,11.01B,10.93B,11.05B,11.23B,11.22B,10.92B,11.16B,7.313B,7.344B,11.65B,4.861B,4.84B,4.822B,4.785B,4.775B,4.835B,4.797B,4.936B,5.023B,5.024B,4.96B,4.936B,4.789B,4.504B,3.985B,3.951B,1.949B,1.495B,1.452B,1.415B,1.06B,468.00M,493.00M,486.00M,442.00M,434.00M,483.00M,474.00M,519.00M,500.00M,499.00M,515.00M,583.00M,465.00M,750.00M
Total Liabilities,141.92B,136.41B,131.20B,119.98B,116.95B,115.87B,114.57B,112.25B,110.65B,89.86B,92.01B,89.52B,89.12B,86.80B,88.96B,87.44B,88.01B,92.21B,91.80B,89.74B,84.13B,78.02B,78.55B,76.94B,77.67B,85.57B,84.46B,82.89B,82.93B,75.97B,75.70B,75.08B,76.38B,68.10B,67.30B,64.75B,65.70B,60.58B,59.93B,59.83B,59.54B,57.38B,55.85B,54.92B,47.80B,49.92B,51.29B,49.98B,48.38B,48.03B,45.94B,47.06B,50.43B,50.90B,49.89B,48.94B,48.90B,45.36B,45.24B,44.94B,45.85B,45.33B,44.94B,44.85B,44.90B,44.68B,43.94B,44.65B,37.42B,36.83B,36.80B,38.15B,36.58B,33.19B,31.56B,31.66B,27.29B,25.43B,24.70B,24.68B,24.97B,25.38B,24.95B,24.71B,24.65B,24.99B,25.21B,25.07B,25.50B,17.42B,17.10B,24.38B,12.13B,12.29B,12.55B,12.20B,11.92B,12.22B,12.27B,11.76B,11.74B,12.26B,11.92B,11.47B,11.55B,11.22B,10.61B,10.09B,9.105B,8.302B,8.167B,7.691B,8.176B,7.625B,7.784B,7.618B,7.18B,7.215B,7.418B,7.147B,7.082B,7.253B,7.204B,7.579B,6.242B,4.882B,4.79B
Total Capital Stock,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.061B,5.059B,5.059B,5.059B,5.059B,5.059B,5.059B,5.059B,5.059B,5.059B,5.059B,5.059B,5.059B,5.059B,5.059B,5.059B,5.059B,5.059B,5.059B,5.059B,5.059B,5.059B,5.059B,5.059B,5.059B,5.059B,5.059B,5.059B,5.059B,5.059B,5.059B,5.00B,5.00B,3.609B,1.804B,4.967B,1.746B,1.746B,1.746B,1.746B,1.746B,1.746B,1.746B,1.746B,1.746B,1.746B,1.746B,,,,,,,,,,,,,,,,,,,,,,,,
Retained Earnings,50.64B,53.99B,52.82B,58.09B,55.94B,54.67B,52.30B,52.10B,49.62B,44.05B,42.22B,42.16B,40.71B,40.64B,38.36B,39.98B,38.76B,39.07B,37.36B,37.52B,36.18B,35.88B,34.52B,33.93B,32.96B,32.65B,31.49B,31.14B,30.04B,29.78B,28.74B,28.45B,27.52B,26.78B,25.68B,25.37B,24.78B,23.41B,23.26B,22.75B,22.10B,23.67B,23.28B,22.68B,23.36B,22.67B,22.41B,21.38B,20.92B,19.81B,19.32B,18.45B,17.99B,17.29B,17.95B,17.28B,17.26B,16.25B,16.10B,15.56B,15.76B,15.30B,15.03B,14.41B,13.56B,13.31B,13.78B,14.26B,13.96B,13.58B,13.09B,14.34B,14.53B,13.87B,13.33B,12.09B,11.88B,11.27B,10.90B,10.49B,10.08B,9.605B,9.175B,8.706B,8.518B,8.17B,8.197B,8.147B,8.925B,7.152B,8.824B,8.896B,8.392B,8.139B,7.865B,7.746B,7.70B,7.475B,7.877B,7.696B,7.709B,7.524B,7.472B,7.18B,7.046B,6.857B,6.601B,6.276B,7.152B,6.787B,6.505B,6.064B,5.832B,5.431B,5.149B,4.84B,4.694B,4.402B,4.685B,4.452B,4.146B,3.974B,4.137B,3.76B,3.497B,3.018B,2.854B
Additional Paid In Capital,6.745B,6.688B,6.638B,6.573B,6.768B,6.714B,6.676B,6.624B,6.804B,6.754B,4.644B,4.604B,4.762B,4.808B,4.778B,4.784B,4.834B,4.771B,4.721B,4.657B,4.625B,4.572B,4.524B,4.441B,4.415B,4.295B,4.181B,4.079B,4.122B,4.068B,4.018B,3.977B,4.033B,3.988B,3.945B,3.903B,3.866B,3.832B,4.264B,3.724B,3.956B,3.561B,3.289B,3.456B,3.792B,4.093B,4.357B,4.757B,5.242B,4.899B,4.691B,4.655B,4.313B,4.564B,4.643B,4.371B,3.84B,4.009B,3.696B,3.42B,3.272B,3.212B,2.846B,2.88B,2.45B,2.341B,1.85B,2.141B,2.092B,2.403B,2.421B,1.975B,1.657B,2.468B,2.381B,2.693B,2.557B,1.814B,1.621B,1.684B,1.686B,1.653B,1.263B,1.147B,1.171B,1.498B,1.744B,1.09B,1.238B,1.941B,1.85B,920.00M,822.00M,650.00M,641.00M,615.00M,599.00M,592.00M,585.00M,586.00M,481.00M,409.00M,411.00M,,,,,,,,,,,,,,,,,,,,,,,,
Treasury Stock,54.91B,54.92B,54.93B,54.63B,52.35B,51.78B,49.34B,46.40B,43.45B,41.74B,40.73B,38.32B,36.10B,35.76B,34.82B,32.94B,29.57B,28.90B,27.46B,25.51B,23.30B,22.35B,21.38B,20.03B,17.67B,16.86B,16.41B,15.78B,15.94B,16.06B,16.20B,16.36B,16.60B,16.72B,16.86B,17.02B,17.19B,15.58B,15.74B,15.91B,17.73B,17.74B,17.76B,17.76B,19.03B,16.83B,16.01B,14.84B,13.96B,13.13B,12.67B,12.46B,12.13B,11.54B,11.22B,11.08B,10.36B,9.637B,9.154B,8.81B,8.411B,8.359B,8.244B,8.322B,8.34B,8.35B,8.361B,8.397B,8.431B,8.446B,8.454B,8.509B,8.516B,7.658B,6.307B,6.221B,4.902B,4.468B,4.24B,4.161B,2.922B,1.938B,1.397B,1.321B,417.00M,69.00M,17.00M,9.00M,13.00M,1.00M,33.00M,1.00M,22.00M,181.00M,132.00M,209.00M,243.00M,282.00M,313.00M,328.00M,332.00M,337.00M,344.00M,,,,,,,,,,,,,,,,,,,,,,,,
Accrued Comprehensive Inc,-16.15B,-14.93B,-14.91B,-14.97B,-15.08B,-15.95B,-16.14B,-16.16B,-16.37B,-13.04B,-13.23B,-13.42B,-13.62B,-12.66B,-12.80B,-12.84B,-12.75B,-13.26B,-13.42B,-13.82B,-13.90B,-8.653B,-8.659B,-8.883B,-9.894B,-16.19B,-16.79B,-17.04B,-17.42B,-15.26B,-15.82B,-16.09B,-16.50B,-13.15B,-13.10B,-13.40B,-13.76B,-11.74B,-11.75B,-11.88B,-12.82B,-13.12B,-13.51B,-13.52B,-4.466B,-6.395B,-6.755B,-4.596B,-10.85B,-10.78B,-10.79B,-8.217B,-4.203B,-5.012B,-4.923B,-1.778B,-6.377B,-4.55B,-4.224B,-1.925B,-6.134B,-6.263B,-5.832B,-4.145B,-5.38B,-5.39B,-5.048B,-4.045B,-1.774B,-2.199B,-2.364B,-485.00M,-1.422B,-2.247B,-2.242B,-2.00M,-2.443B,-1.628B,-1.49B,-1.607B,-1.686B,-1.703B,-1.353B,-1.275B,-1.359B,-1.703B,-1.956B,-1.275B,-1.28B,-1.258B,-1.256B,-1.28B,-1.065B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholders Equity,-8.617B,-4.116B,-5.322B,125.00M,339.00M,-1.289B,-1.441B,1.222B,1.656B,1.086B,-2.037B,95.00M,817.00M,2.089B,585.00M,4.043B,6.335B,6.74B,6.264B,7.906B,8.665B,14.51B,14.06B,14.52B,14.88B,8.951B,7.526B,7.462B,5.867B,7.588B,5.804B,5.027B,3.515B,5.967B,4.733B,3.912B,2.766B,3.077B,2.942B,2.128B,-1.028B,180.00M,-662.00M,-1.294B,8.714B,8.594B,9.066B,9.004B,6.406B,5.857B,5.611B,4.739B,11.03B,10.37B,11.52B,11.06B,9.423B,11.13B,11.48B,11.29B,9.542B,8.949B,8.859B,8.139B,7.35B,6.966B,7.284B,7.696B,10.90B,10.40B,9.753B,10.82B,11.30B,11.50B,12.22B,11.02B,12.15B,12.05B,11.86B,11.46B,12.22B,12.68B,12.75B,12.32B,12.97B,12.96B,13.03B,12.95B,13.87B,11.44B,11.19B,13.50B,9.873B,10.35B,10.12B,9.898B,9.802B,9.531B,9.895B,9.70B,9.604B,9.342B,9.285B,8.983B,8.842B,8.645B,8.385B,8.056B,9.087B,8.72B,8.544B,8.093B,7.942B,7.574B,7.289B,6.973B,6.828B,6.679B,6.373B,6.131B,5.822B,5.644B,5.404B,4.987B,4.826B,4.364B,3.695B
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,AOR,,,,AOR,,,,AOR,,,,AOR,,,,AOR,,,,AOR,,,,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,Restated,,,,Restated,,,,Restated,,,,Restated,,,,Restated,,,,Restated,,,,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
