Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1988-12,1987-12,1986-12,1985-12,1984-12
Total Liabilities,236.19B,233.86B,255.98B,259.44B,259.59B,263.85B,271.02B,284.92B,295.75B,283.99B,279.69B,275.47B,287.69B,304.15B,314.78B,369.44B,392.93B,461.32B,492.65B,500.33B,518.12B,506.51B,511.80B,514.23B,519.78B,532.39B,531.73B,541.64B,556.53B,570.86B,570.22B,586.13B,600.06B,610.93B,608.73B,602.05B,623.60B,638.21B,629.20B,654.40B,656.76B,662.04B,657.71B,651.33B,684.16B,708.19B,719.81B,709.66B,672.12B,641.37B,614.32B,592.06B,577.68B,562.49B,545.37B,559.19B,555.92B,540.32B,610.78B,620.76B,627.08B,586.53B,582.07B,569.33B,562.27B,548.66B,537.43B,511.76B,506.06B,487.83B,476.84B,440.34B,434.98B,401.64B,388.22B,382.14B,381.58B,378.52B,373.18B,372.25B,357.43B,335.06B,323.66B,318.26B,312.78B,293.26B,279.34B,271.22B,265.89B,248.55B,244.14B,236.49B,238.27B,216.13B,209.84B,197.97B,195.47B,184.10B,174.21B,168.69B,166.25B,226.06B,233.60B,242.82B,224.03B,207.39B,201.75B,191.74B,168.07B,177.43B,166.02B,161.06B,145.36B,147.35B,134.19B,134.42B,130.99B,122.09B,113.40B,106.40B,106.45B,103.29B,100.21B,92.40B,22.44B,19.48B,12.53B,12.16B
Total Capital Stock,708.00M,708.00M,708.00M,708.00M,708.00M,708.00M,708.00M,708.00M,708.00M,708.00M,708.00M,708.00M,708.00M,708.00M,708.00M,708.00M,708.00M,702.00M,702.00M,702.00M,702.00M,702.00M,702.00M,702.00M,702.00M,702.00M,702.00M,702.00M,702.00M,702.00M,702.00M,702.00M,702.00M,702.00M,702.00M,702.00M,702.00M,702.00M,702.00M,702.00M,702.00M,0.00,0.00,0.00,702.00M,669.00M,669.00M,669.00M,669.00M,669.00M,669.00M,669.00M,669.00M,669.00M,669.00M,669.00M,669.00M,669.00M,669.00M,669.00M,669.00M,669.00M,669.00M,669.00M,669.00M,669.00M,669.00M,669.00M,669.00M,669.00M,669.00M,669.00M,669.00M,669.00M,669.00M,669.00M,669.00M,669.00M,669.00M,594.00M,594.00M,594.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retained Earnings,87.73B,87.21B,96.77B,96.92B,93.11B,90.87B,114.91B,115.48B,117.24B,136.70B,137.04B,137.98B,139.53B,138.24B,138.31B,137.75B,140.02B,135.93B,135.76B,139.44B,155.33B,152.50B,151.17B,149.84B,149.05B,148.07B,146.80B,145.61B,144.06B,142.03B,140.32B,139.02B,137.79B,135.86B,135.10B,133.00B,131.14B,128.13B,127.44B,125.45B,126.36B,124.53B,123.17B,121.57B,122.12B,121.76B,120.54B,118.56B,117.36B,114.14B,111.82B,109.29B,106.99B,104.45B,102.06B,99.81B,97.64B,97.68B,95.34B,93.04B,91.41B,87.76B,85.82B,84.01B,82.80B,80.25B,78.52B,76.65B,75.55B,74.35B,72.05B,69.42B,68.70B,66.55B,64.86B,62.56B,61.57B,59.58B,57.75B,55.72B,54.48B,52.74B,5.124B,49.56B,48.55B,47.03B,45.73B,44.25B,43.34B,41.97B,4.080B,39.49B,38.67B,37.46B,36.43B,35.28B,34.53B,33.43B,32.50B,31.47B,30.79B,30.72B,29.97B,29.07B,28.61B,27.75B,27.08B,27.15B,26.53B,25.72B,25.12B,24.37B,23.79B,23.00B,24.20B,23.51B,22.96B,22.16B,21.55B,20.88B,20.35B,19.60B,19.03B,17.95B,15.88B,14.17B,12.99B,11.67B
Additional Paid In Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.12B,33.50B,33.59B,,33.83B,36.60B,36.78B,,36.98B,37.36B,37.59B,37.73B,38.56B,39.07B,39.85B,40.39B,25.91B,26.16B,26.18B,26.10B,25.92B,25.79B,25.63B,25.49B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.944B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treasury Stock,82.80B,82.94B,83.14B,83.33B,83.92B,84.20B,84.47B,84.70B,84.90B,85.20B,85.62B,84.83B,83.04B,79.85B,76.12B,69.04B,63.54B,41.21B,41.55B,42.09B,42.59B,43.00B,43.23B,43.40B,42.56B,41.02B,39.50B,35.99B,34.57B,32.97B,31.68B,31.32B,31.77B,32.26B,31.87B,31.95B,31.94B,31.51B,31.24B,31.76B,32.24B,32.80B,33.55B,34.81B,36.70B,37.83B,38.22B,37.66B,36.90B,32.14B,26.34B,24.62B,24.89B,23.68B,23.01B,20.34B,17.33B,14.32B,12.95B,12.41B,12.76B,12.93B,13.09B,21.15B,24.60B,25.09B,25.54B,26.08B,26.63B,27.02B,26.90B,27.14B,26.92B,26.37B,25.80B,25.10B,24.44B,24.44B,23.21B,22.94B,22.57B,21.17B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preferred Stock,6.00M,6.00M,6.00M,6.00M,6.00M,6.00M,6.00M,6.00M,6.00M,6.00M,6.00M,6.00M,6.00M,6.00M,6.00M,6.00M,6.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unrealized Gain or Loss - Total,,,,-16.00M,,-36.00M,21.00M,-4.00M,-102.00M,887.00M,866.00M,622.00M,674.00M,1.176B,1.077B,680.00M,460.00M,561.00M,564.00M,1.245B,1.013B,755.00M,1.04B,764.00M,307.00M,315.00M,146.00M,744.00M,677.00M,-373.00M,-559.00M,-747.00M,-30.00M,-1.801B,-1.967B,-2.178B,-636.00M,-2.144B,-999.00M,-1.674B,-2.169B,-1.856B,-1.927B,-2.615B,-6.426B,,,,,,,,,,,,,,,,,,,,,1.451B,4.399B,1.85B,1.071B,1.515B,100.00M,-679.00M,-232.00M,413.00M,145.00M,1.083B,74.00M,144.00M,-290.00M,641.00M,626.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Pension Liabilities,,,,-7.708B,,-7.181B,-8.043B,-8.984B,-9.702B,-10.44B,-10.86B,-11.42B,-12.47B,-9.934B,-10.48B,-10.86B,-11.41B,-12.09B,-12.72B,-15.67B,-16.58B,-7.226B,-8.083B,-8.601B,-9.296B,-17.77B,-18.54B,-19.74B,-20.60B,-20.38B,-21.30B,-21.86B,-22.90B,-14.25B,-14.75B,-15.25B,-15.85B,-15.66B,-16.01B,-16.53B,-16.93B,-14.47B,-14.65B,-14.89B,-15.13B,-916.00M,-1.126B,-1.73B,-1.84B,-5.931B,-3.886B,-4.171B,-4.406B,-895.00M,-917.00M,-889.00M,-874.00M,-630.00M,-633.00M,-644.00M,-657.00M,,,,-236.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjustments for Foreign Currency Translation,,,,-5.81B,,-6.04B,-5.446B,-3.988B,-4.661B,-5.092B,-5.481B,-6.004B,-6.816B,-5.643B,-5.448B,-5.50B,-5.499B,-5.281B,-5.914B,-7.716B,-2.428B,-1.518B,61.00M,177.00M,126.00M,-36.00M,358.00M,-43.00M,412.00M,430.00M,-861.00M,476.00M,133.00M,2.39B,4.26B,2.43B,-86.00M,-963.00M,-3.319B,1.424B,3.836B,4.043B,2.186B,-4.359B,-299.00M,7.20B,12.11B,12.88B,10.71B,9.904B,7.925B,6.131B,6.181B,4.748B,4.267B,2.272B,2.532B,3.65B,3.177B,6.911B,6.85B,2.691B,2.655B,2.915B,2.987B,-273.00M,-145.00M,-1.66B,-2.136B,-2.438B,-2.985B,-3.541B,-3.136B,-2.46B,-2.601B,-2.43B,-2.574B,-2.428B,-1.919B,-1.69B,-1.37B,-1.218B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Equity Adjustments,,,,49.00M,,27.00M,36.00M,114.00M,62.00M,119.00M,22.00M,32.00M,12.00M,-21.00M,-51.00M,-26.00M,-80.00M,-174.00M,-140.00M,-226.00M,-180.00M,-121.00M,-176.00M,-189.00M,-257.00M,-370.00M,-430.00M,-620.00M,-722.00M,,,,-1.176B,,,,-1.28B,,,,,,,,,-2.168B,-546.00M,-2.285B,-668.00M,-189.00M,600.00M,-73.00M,-129.00M,-498.00M,-236.00M,-549.00M,-352.00M,-941.00M,-1.025B,-594.00M,-1.223B,-1.027B,-1.151B,-1.797B,-1.792B,-1.92B,-3.249B,-2.262B,-2.112B,-2.045B,-1.351B,-592.00M,-955.00M,-1.502B,-1.04B,-1.383B,,,,,,82.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accrued Comprehensive Inc,-11.73B,-11.36B,-12.85B,-13.48B,-14.41B,-13.23B,-13.43B,-12.86B,-14.40B,-14.52B,-15.45B,-16.77B,-18.60B,-14.42B,-14.90B,-15.70B,-16.53B,-16.98B,-18.21B,-22.36B,-18.17B,-8.11B,-7.158B,-7.849B,-9.12B,-17.86B,-18.46B,-19.66B,-20.23B,-20.32B,-22.72B,-22.13B,-23.97B,-13.66B,-12.46B,-15.00B,-17.86B,-18.76B,-20.33B,-16.78B,-15.26B,-12.28B,-14.39B,-21.86B,-21.85B,4.116B,10.44B,8.869B,8.20B,3.784B,4.639B,1.887B,1.646B,3.355B,3.114B,834.00M,1.306B,2.079B,1.519B,5.673B,4.97B,1.664B,1.504B,1.118B,959.00M,-742.00M,1.005B,-2.072B,-3.177B,-2.968B,-4.236B,-4.812B,-4.323B,-3.549B,-3.496B,-2.73B,-2.50B,-2.284B,-2.209B,-1.049B,-744.00M,-1.136B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholders Equity,28.32B,27.94B,35.82B,35.16B,30.98B,31.45B,55.07B,55.96B,56.03B,76.10B,74.15B,74.53B,75.83B,81.88B,84.99B,91.09B,98.27B,111.20B,109.50B,108.56B,128.16B,135.00B,134.01B,131.84B,130.57B,122.69B,122.51B,123.71B,123.03B,122.55B,120.12B,119.87B,116.44B,124.46B,128.07B,123.54B,118.94B,115.54B,113.93B,115.20B,117.29B,117.53B,112.12B,101.02B,104.66B,112.33B,118.39B,116.00B,115.56B,112.83B,117.02B,114.17B,111.51B,111.40B,108.77B,107.49B,109.35B,112.98B,112.38B,112.87B,110.82B,101.78B,98.28B,86.49B,79.18B,72.48B,71.97B,66.36B,63.71B,62.26B,58.73B,55.17B,54.82B,53.60B,52.25B,50.93B,50.49B,47.74B,45.92B,44.50B,42.56B,39.97B,39.61B,38.79B,38.88B,37.16B,35.58B,34.72B,34.44B,33.70B,31.62B,30.46B,31.12B,30.00B,29.30B,29.27B,29.61B,28.27B,28.24B,27.28B,26.39B,26.88B,26.38B,25.40B,25.82B,24.32B,23.76B,23.78B,23.46B,22.77B,22.19B,21.60B,21.68B,20.94B,22.28B,21.86B,21.68B,21.04B,21.02B,20.70B,20.89B,20.21B,19.59B,18.47B,16.48B,15.11B,13.90B,12.57B
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
