Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1988-12,1987-12,1986-12,1985-12,1984-12
Additional Paid In Capital,46.98B,46.95B,46.92B,46.88B,46.88B,46.86B,46.75B,46.64B,46.62B,46.60B,46.56B,46.51B,46.51B,46.48B,46.43B,46.36B,46.36B,46.31B,46.24B,46.14B,46.07B,46.00B,45.93B,45.75B,45.69B,45.64B,45.53B,45.42B,45.32B,45.13B,45.02B,44.94B,44.72B,44.61B,44.47B,44.31B,44.13B,43.96B,43.87B,43.74B,43.68B,43.58B,43.51B,43.42B,43.40B,43.31B,43.26B,42.83B,42.72B,42.55B,42.38B,42.05B,41.93B,41.70B,41.60B,41.37B,26.75B,26.71B,26.55B,26.35B,26.05B,25.82B,25.73B,25.59B,25.36B,25.27B,25.24B,25.20B,25.18B,25.23B,9.156B,9.109B,9.069B,9.066B,2.186B,2.17B,2.153B,2.147B,2.122B,2.104B,2.098B,2.089B,2.085B,2.062B,2.055B,2.051B,2.049B,2.046B,2.031B,2.028B,2.011B,2.009B,1.999B,1.993B,1.989B,1.982B,1.966B,1.011B,1.01B,999.00M,996.00M,991.00M,986.00M,978.00M,977.00M,,,,,,,,,,,,,,,,,,,,,,
Treasury Stock,46.40B,45.66B,44.91B,43.66B,42.90B,41.98B,41.05B,40.41B,39.91B,38.95B,37.98B,37.02B,36.91B,36.78B,36.78B,36.78B,36.78B,36.78B,36.78B,36.78B,36.78B,36.78B,36.78B,36.78B,36.78B,36.78B,36.78B,36.78B,36.78B,36.84B,36.70B,33.68B,31.79B,28.67B,24.86B,21.71B,20.08B,17.47B,16.60B,16.21B,16.21B,16.21B,16.21B,16.21B,16.21B,16.18B,13.69B,11.20B,8.70B,6.225B,3.715B,2.731B,1.73B,1.49B,1.24B,,1.924B,1.963B,576.00M,226.00M,816.00M,837.00M,,,,,,,,923.00M,1.929B,1.952B,1.972B,2.039B,2.065B,2.086B,2.099B,2.102B,2.134B,2.168B,2.178B,2.185B,2.191B,2.235B,2.246B,2.126B,1.935B,1.826B,1.741B,1.722B,1.745B,1.729B,1.746B,1.75B,1.759B,1.78B,1.816B,828.00M,830.00M,851.00M,859.00M,868.00M,871.00M,887.00M,885.00M,,,,,,,,,,,,,,,,,,,,,,
Unrealized Gain or Loss - Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-69.00M,,-83.00M,-89.00M,-95.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Pension Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,-23.00M,-32.00M,-41.00M,-47.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjustments for Foreign Currency Translation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-431.00M,3.192B,,,-465.00M,4.554B,3.234B,2.089B,1.958B,1.851B,,,,,,,,,,,,,,,,,,,,-112.00M,-136.00M,-123.00M,-106.00M,-97.00M,-79.00M,-58.00M,-38.00M,-25.00M,-45.00M,-34.00M,-22.00M,-10.00M,-23.00M,-8.00M,-8.00M,8.00M,15.00M,28.00M,54.00M,31.00M,29.00M,30.00M,39.00M,42.00M,49.00M,41.00M,16.00M,25.00M,9.00M,-11.00M,-14.00M,,,,,,,,,,,,,,,,,,,,,,
Other Equity Adjustments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.972B,,3.203B,6.125B,5.547B,4.773B,,,3.275B,,2.712B,998.00M,-2.118B,-2.248B,-559.00M,,,4.897B,-757.00M,-773.00M,-795.00M,-817.00M,-282.00M,,,,,,,,,,,,,,,,,,,,-241.00M,-244.00M,-255.00M,-257.00M,-263.00M,-269.00M,-274.00M,-279.00M,-280.00M,-283.00M,-290.00M,-294.00M,-305.00M,-323.00M,-332.00M,-342.00M,-351.00M,-360.00M,-369.00M,-378.00M,-387.00M,-396.00M,-405.00M,-414.00M,-423.00M,-433.00M,-442.00M,-451.00M,-465.00M,-473.00M,-480.00M,-487.00M,,,,,,,,,,,,,,,,,,,,,,
Accrued Comprehensive Inc,-5.357B,-5.654B,-5.827B,-5.914B,-6.063B,-5.442B,-5.637B,-5.371B,-5.518B,-5.292B,-6.342B,-5.961B,-6.193B,-5.444B,-5.371B,-5.146B,-6.247B,-6.125B,-3.641B,-4.589B,-1.902B,585.00M,2.498B,1.802B,2.002B,2.712B,1.84B,3.478B,4.087B,4.339B,3.877B,3.972B,3.246B,3.18B,6.093B,5.506B,4.726B,4.405B,1.881B,3.206B,3.065B,2.629B,909.00M,-2.213B,-2.679B,2.633B,4.189B,4.016B,4.432B,3.797B,2.461B,1.294B,1.141B,1.569B,1.601B,-8.00M,-131.00M,738.00M,-87.00M,211.00M,1.35B,727.00M,-248.00M,-330.00M,-236.00M,-820.00M,-887.00M,-1.111B,-1.289B,-640.00M,-447.00M,-515.00M,-492.00M,-353.00M,-380.00M,-378.00M,-363.00M,-360.00M,-348.00M,-332.00M,-317.00M,-305.00M,-328.00M,-324.00M,-316.00M,-315.00M,-346.00M,-340.00M,-350.00M,-343.00M,-345.00M,-341.00M,-324.00M,-356.00M,-367.00M,-375.00M,-375.00M,-381.00M,-384.00M,-401.00M,-435.00M,-440.00M,-464.00M,-491.00M,-501.00M,,,,,,,,,,,,,,,,,,,,,,
Shareholders Equity,34.98B,35.15B,32.98B,32.86B,31.94B,31.95B,31.04B,30.55B,30.61B,30.50B,30.29B,35.35B,34.97B,36.17B,37.54B,39.09B,39.76B,44.21B,48.62B,48.65B,51.91B,55.27B,55.32B,53.22B,52.09B,51.11B,48.51B,48.80B,47.99B,47.41B,45.97B,66.53B,65.24B,65.81B,70.06B,69.97B,68.56B,69.36B,65.37B,62.84B,62.02B,61.51B,58.93B,55.10B,55.16B,92.88B,92.40B,89.58B,88.98B,86.93B,84.93B,84.78B,82.65B,80.48B,77.38B,72.19B,52.73B,49.84B,47.30B,45.03B,42.72B,39.77B,37.83B,35.82B,34.37B,32.96B,32.03B,30.92B,29.52B,29.99B,14.46B,14.11B,14.34B,14.42B,7.052B,6.496B,6.093B,5.436B,5.081B,4.705B,4.549B,4.385B,4.223B,4.205B,4.219B,4.639B,4.841B,4.888B,4.814B,4.721B,4.586B,4.39B,4.251B,4.102B,3.982B,3.823B,3.188B,3.154B,3.092B,3.029B,2.953B,2.854B,2.787B,2.75B,2.688B,2.739B,2.762B,2.698B,2.698B,2.662B,2.617B,2.571B,2.757B,2.78B,2.771B,2.803B,2.719B,2.566B,2.435B,2.332B,2.132B,2.438B,2.113B,1.617B,1.724B,1.644B,6.624B
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,Restated,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
