Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1988-12,1987-12,1986-12,1985-12,1984-12
Retained Earnings,61.59B,61.07B,60.55B,59.28B,57.82B,57.71B,57.03B,55.53B,55.24B,55.38B,54.64B,53.74B,52.87B,52.38B,51.45B,50.62B,49.96B,47.24B,46.44B,45.46B,44.61B,43.67B,42.34B,41.20B,40.54B,39.60B,38.63B,37.55B,36.78B,35.22B,34.28B,33.39B,33.49B,32.59B,31.70B,30.81B,30.19B,29.38B,28.57B,27.85B,27.40B,26.83B,26.13B,25.52B,25.03B,24.38B,23.41B,22.44B,21.75B,21.00B,20.12B,19.24B,18.75B,18.17B,17.43B,16.60B,16.05B,15.66B,15.06B,14.31B,13.88B,14.10B,13.58B,12.92B,12.53B,12.14B,11.67B,11.19B,10.84B,10.43B,9.955B,9.471B,9.149B,8.921B,8.479B,8.035B,7.743B,7.468B,7.088B,6.707B,6.463B,6.516B,6.553B,5.595B,5.411B,5.229B,4.981B,4.725B,4.558B,4.398B,4.187B,3.973B,3.849B,3.699B,3.522B,3.339B,3.252B,3.143B,304.00M,2.856B,2.79B,2.73B,2.609B,2.504B,2.466B,2.399B,2.309B,2.245B,2.247B,2.996B,2.92B,2.819B,2.787B,4.100B,4.045B,4.065B,4.090B,3.985B,3.810B,3.668B,3.596B,2.469B,3.116B,2.660B,2.281B,2.605B,2.520B
Treasury Stock,32.63B,32.59B,32.55B,32.51B,32.48B,35.67B,35.64B,35.62B,35.60B,35.58B,35.52B,35.08B,34.15B,32.58B,31.12B,31.08B,30.91B,25.95B,24.52B,24.52B,21.92B,21.52B,21.09B,20.76B,20.43B,20.23B,19.91B,19.58B,19.25B,19.26B,19.40B,19.40B,19.41B,19.41B,18.96B,18.21B,17.47B,16.92B,16.43B,15.90B,15.41B,15.09B,14.66B,14.51B,14.32B,13.82B,12.90B,12.16B,11.34B,10.84B,10.34B,9.861B,9.413B,8.679B,8.101B,7.789B,7.418B,6.999B,6.616B,6.423B,6.312B,6.019B,5.808B,5.551B,5.335B,5.241B,5.196B,5.151B,4.951B,4.648B,4.625B,4.502B,4.404B,4.482B,4.311B,4.149B,3.955B,3.836B,3.695B,3.478B,3.182B,2.914B,,,3.117B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preferred Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.00M,437.00M,443.00M,449.00M,449.00M,451.00M,454.00M,456.00M,455.00M,452.00M,452.00M,450.00M,866.00M,441.00M,439.00M,434.00M,426.00M,417.00M,408.00M,398.00M,386.00M,371.00M,357.00M,339.00M,228.00M,184.00M,179.00M,176.00M,149.00M,149.00M,149.00M,151.00M,126.00M,126.00M,126.00M,126.00M,81.40M,81.40M,81.40M,81.40M,,,0.90M,0.90M,0.90M,,,,,
Minimum Pension Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-344.00M,,,,-1.549B,,,,-1.581B,,,,-2.151B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjustments for Foreign Currency Translation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.00M,,,,379.00M,,,,-641.00M,,,,1.355B,,,,633.00M,,,,20.00M,,,,210.00M,,,,-304.00M,,,,-832.00M,,,,,,,,,,,,-563.00M,,,,-487.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Equity Adjustments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.135B,,,,-3.866B,,,,-5.293B,,,,-771.00M,,,,-2.072B,,,,130.00M,,,,187.00M,,,,86.00M,,,,6.00M,,,,,,,,,,,,172.00M,,,,-137.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accrued Comprehensive Inc,-10.15B,-10.82B,-9.892B,-9.519B,-9.333B,-7.723B,-7.684B,-6.937B,-7.525B,-7.327B,-7.964B,-8.333B,-8.334B,-7.729B,-7.484B,-7.344B,-7.619B,-7.388B,-6.577B,-7.211B,-6.661B,-3.169B,-2.403B,-2.941B,-2.88B,-5.325B,-6.00B,-5.867B,-5.448B,-4.663B,-5.675B,-5.001B,-5.49B,-3.766B,-2.896B,-3.101B,-3.769B,-3.357B,-4.238B,-3.746B,-3.487B,-4.58B,-5.275B,-6.221B,-5.934B,,539.00M,595.00M,584.00M,-310.00M,-790.00M,-1.235B,-1.439B,30.00M,-180.00M,-429.00M,-194.00M,-1.554B,-1.697B,-1.47B,-1.152B,-1.974B,-2.09B,-2.027B,-1.799B,-2.533B,-2.572B,-2.873B,-2.977B,-1.488B,-1.40B,-1.519B,-1.466B,-944.00M,-930.00M,-947.00M,-791.00M,-690.00M,-627.00M,-494.00M,-391.00M,-684.00M,,,-624.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholders Equity,41.77B,40.47B,40.75B,39.74B,38.45B,32.11B,31.36B,30.53B,29.61B,29.88B,28.44B,27.59B,27.58B,29.19B,29.09B,28.35B,27.36B,30.52B,30.38B,28.65B,31.21B,34.05B,33.78B,32.32B,31.87B,28.58B,26.99B,26.19B,25.91B,24.96B,22.60B,22.49B,21.88B,22.59B,22.72B,22.13B,21.38B,21.25B,19.93B,19.96B,20.07B,18.49B,17.38B,15.81B,15.76B,21.08B,21.91B,21.59B,21.36B,20.28B,19.20B,18.11B,17.30B,18.93B,18.45B,17.36B,16.99B,15.74B,15.27B,14.70B,14.27B,13.04B,12.48B,12.08B,11.71B,10.12B,9.526B,8.68B,8.355B,9.676B,9.163B,8.646B,8.369B,8.432B,8.149B,7.738B,7.662B,7.86B,7.57B,7.479B,7.566B,7.551B,7.768B,4.953B,4.834B,4.832B,4.743B,4.688B,4.523B,5.164B,4.774B,4.678B,4.74B,4.686B,4.56B,4.481B,4.419B,4.338B,4.299B,4.161B,4.091B,3.998B,3.891B,3.814B,3.774B,3.634B,3.595B,3.489B,3.521B,4.39B,4.256B,4.163B,4.087B,5.347B,5.287B,5.391B,5.424B,5.211B,4.984B,4.798B,4.740B,4.908B,4.822B,4.291B,3.802B,3.845B,3.642B
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,AOR,,,,AOR,,,,AOR,,,,AOR,,,,AOR,,,,AOR,,,,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,,Restated,,,,Restated,,,,Restated,,,,Restated,,,,Restated,,,,Restated,,,,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
